sofifa_id,player_url,short_name,long_name,matching_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
165153,https://sofifa.com/player/165153/karim-benzema/220002,K. Benzema,Karim Benzema,karim-benzema,"CF, ST",89,89,66000000,350000,33,1987-12-19,185,81,243,Real Madrid CF,Spain Primera Division,1,CF,9,,2009-07-09,2023,18,France,1335,CF,19,Right,4,4,4,Medium/Medium,Normal (170-185),Yes,135300000,#Poacher,"Leadership, Finesse Shot, Playmaker (AI), Outside Foot Shot, Team Player",76,86,81,87,39,77,75,90,89,86,86,87,81,73,73,90,77,75,79,91,72,85,79,78,82,79,63,39,90,87,84,90,43,24,18,13,11,5,5,7,,87+2,87+2,87+2,85,87,87,87,85,86+3,86+3,86+3,84+3,80+3,80+3,80+3,84+3,63+3,62+3,62+3,62+3,63+3,59+3,55+3,55+3,55+3,59+3,18+3,https://cdn.sofifa.net/players/165/153/22_120.png,https://cdn.sofifa.net/teams/243/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1335/60.png,https://cdn.sofifa.net/flags/fr.png
189596,https://sofifa.com/player/189596/thomas-muller/220002,T. Müller,Thomas Müller,thomas-muller,"CAM, RM, RW",87,87,66000000,140000,31,1989-09-13,185,76,21,FC Bayern München,German 1. Bundesliga,1,CAM,25,,2008-08-10,2023,21,Germany,,,,Right,4,3,4,High/High,Lean (185+),Yes,108900000,"#Engine, #Clinical Finisher","Solid Player, Leadership, Outside Foot Shot",67,84,83,80,56,71,85,88,81,85,84,77,81,59,79,84,66,67,73,94,71,78,77,86,66,82,62,58,96,85,70,84,47,57,46,6,7,11,14,14,,83+3,83+3,83+3,83,84,84,84,83,84+3,84+3,84+3,83+3,82+3,82+3,82+3,83+3,71+3,71+3,71+3,71+3,71+3,69+3,63+3,63+3,63+3,69+3,20+3,https://cdn.sofifa.net/players/189/596/22_120.png,https://cdn.sofifa.net/teams/21/60.png,https://cdn.sofifa.net/flags/de.png,,https://cdn.sofifa.net/flags/de.png
223848,https://sofifa.com/player/223848/sergej-milinkovic-savic/220002,S. Milinković-Savić,Sergej Milinković-Savić,sergej-milinkovic-savic,"CM, CDM, CAM",85,87,66000000,100000,26,1995-02-27,191,76,46,Lazio,Italian Serie A,1,RCM,21,,2015-08-06,2024,51,Serbia,,,,Right,5,4,3,High/Medium,Normal (185+),Yes,117200000,,"Power Header, Outside Foot Shot",68,79,80,81,79,86,64,80,86,85,74,84,80,78,85,86,66,70,62,83,63,83,85,91,87,80,79,78,79,82,56,84,78,79,74,7,10,7,16,7,,81+3,81+3,81+3,79,81,81,81,79,81+3,81+3,81+3,80+3,84+3,84+3,84+3,80+3,78+3,82+3,82+3,82+3,78+3,78+3,81+3,81+3,81+3,78+3,18+3,https://cdn.sofifa.net/players/223/848/22_120.png,https://cdn.sofifa.net/teams/46/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/rs.png
198219,https://sofifa.com/player/198219/lorenzo-insigne/220002,L. Insigne,Lorenzo Insigne,lorenzo-insigne,"LW, CF",86,86,65500000,125000,30,1991-06-04,163,59,48,Napoli,Italian Serie A,1,LW,24,,2010-07-01,2022,27,Italy,1343,LW,10,Right,4,4,4,High/Medium,Unique,Yes,111400000,"#Dribbler, #FK Specialist","Finesse Shot, Flair, Long Shot Taker (AI), Outside Foot Shot, Technical Dribbler (AI)",87,78,85,90,36,45,77,76,59,87,74,90,87,86,84,93,90,84,89,79,93,76,50,74,34,82,34,26,81,89,87,81,53,24,22,8,4,14,9,10,,77+3,77+3,77+3,85,84,84,84,85,86,86,86,85+1,80+3,80+3,80+3,85+1,63+3,59+3,59+3,59+3,63+3,58+3,44+3,44+3,44+3,58+3,16+3,https://cdn.sofifa.net/players/198/219/22_120.png,https://cdn.sofifa.net/teams/48/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/1343/60.png,https://cdn.sofifa.net/flags/it.png
204485,https://sofifa.com/player/204485/riyad-mahrez/220002,R. Mahrez,Riyad Mahrez,riyad-mahrez,"RW, RM",86,86,65500000,220000,30,1991-02-21,179,67,10,Manchester City,English Premier League,1,RW,26,,2018-07-10,2023,97,Algeria,,,,Left,4,5,3,Medium/Medium,Unique,Yes,121200000,"#Dribbler, #Acrobat","Finesse Shot, Flair, Long Shot Taker (AI), Technical Dribbler (AI)",81,79,81,90,38,60,81,81,48,83,76,91,85,78,75,91,84,79,92,81,88,79,56,75,57,79,48,39,80,84,70,84,45,31,22,15,9,13,11,6,,78+3,78+3,78+3,85,83,83,83,85,85+1,85+1,85+1,84+2,78+3,78+3,78+3,84+2,64+3,61+3,61+3,61+3,64+3,58+3,48+3,48+3,48+3,58+3,18+3,https://cdn.sofifa.net/players/204/485/22_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/dz.png
189509,https://sofifa.com/player/189509/thiago-alcantara/220002,Thiago,Thiago Alcântara do Nascimento,thiago,"CM, CDM",86,86,65000000,180000,30,1991-04-11,174,70,9,Liverpool,English Premier League,1,LCM,6,,2020-09-18,2024,45,Spain,1362,SUB,10,Right,3,5,3,Medium/Medium,Normal (170-185),Yes,120300000,"#Dribbler, #Acrobat","Injury Prone, Dives Into Tackles (AI), Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",63,72,86,90,70,66,78,68,54,90,82,90,85,77,89,92,72,55,91,84,90,75,80,74,59,73,72,82,75,85,75,88,67,71,68,6,11,7,9,13,,74+3,74+3,74+3,81,80,80,80,81,84+2,84+2,84+2,82+3,85+1,85+1,85+1,82+3,77+3,80+3,80+3,80+3,77+3,75+3,71+3,71+3,71+3,75+3,18+3,https://cdn.sofifa.net/players/189/509/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1362/60.png,https://cdn.sofifa.net/flags/es.png
206113,https://sofifa.com/player/206113/serge-gnabry/220002,S. Gnabry,Serge David Gnabry,serge-gnabry,"RM, LM, RW",85,86,64500000,110000,25,1995-07-14,176,77,21,FC Bayern München,German 1. Bundesliga,1,RM,7,,2017-07-01,2023,21,Germany,1337,RM,10,Right,4,4,4,High/Medium,Unique,Yes,111300000,"#Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward","Injury Prone, Flair, Long Shot Taker (AI), Speed Dribbler (AI), Technical Dribbler (AI)",83,84,79,86,43,69,74,86,42,82,83,88,74,62,78,83,90,77,87,86,88,87,65,78,68,82,63,38,86,83,68,80,45,44,43,14,10,10,9,7,,80+3,80+3,80+3,84,84,84,84,84,84+2,84+2,84+2,83+3,78+3,78+3,78+3,83+3,66+3,64+3,64+3,64+3,66+3,62+3,54+3,54+3,54+3,62+3,18+3,https://cdn.sofifa.net/players/206/113/22_120.png,https://cdn.sofifa.net/teams/21/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/teams/1337/60.png,https://cdn.sofifa.net/flags/de.png
229558,https://sofifa.com/player/229558/dayot-upamecano/220002,D. Upamecano,Dayotchanculle Oswald Upamecano,dayot-upamecano,CB,82,90,64000000,70000,22,1998-10-27,186,90,21,FC Bayern München,German 1. Bundesliga,1,RCB,2,,2021-07-05,2026,18,France,,,,Right,3,2,2,High/Medium,Stocky (185+),Yes,118400000,#Strength,,81,43,62,68,81,81,48,39,82,76,27,69,32,28,72,69,70,90,60,77,66,60,87,65,88,40,83,77,47,58,39,71,78,84,90,6,7,8,15,9,,62+2,62+2,62+2,63,63,63,63,63,64+2,64+2,64+2,65+2,68+2,68+2,68+2,65+2,74+2,76+2,76+2,76+2,74+2,76+2,82+2,82+2,82+2,76+2,17+2,https://cdn.sofifa.net/players/229/558/22_120.png,https://cdn.sofifa.net/teams/21/60.png,https://cdn.sofifa.net/flags/de.png,,https://cdn.sofifa.net/flags/fr.png
224232,https://sofifa.com/player/224232/nicolo-barella/220002,N. Barella,Nicolò Barella,nicolo-barella,CM,84,89,63500000,120000,24,1997-02-07,172,68,44,Inter,Italian Serie A,1,RCM,23,,2020-09-01,2024,27,Italy,1343,RCM,18,Right,3,3,3,High/High,Normal (170-),Yes,112700000,"#Engine, #Acrobat","Solid Player, Technical Dribbler (AI)",78,71,79,86,75,78,69,69,53,86,75,83,75,67,79,87,80,76,91,89,90,69,78,95,69,72,79,84,83,83,73,85,74,75,79,11,5,13,14,11,,75+3,75+3,75+3,81,81,81,81,81,83+3,83+3,83+3,82+3,84+3,84+3,84+3,82+3,81+3,82+3,82+3,82+3,81+3,80+3,76+3,76+3,76+3,80+3,19+3,https://cdn.sofifa.net/players/224/232/22_120.png,https://cdn.sofifa.net/teams/44/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/1343/60.png,https://cdn.sofifa.net/flags/it.png
202556,https://sofifa.com/player/202556/memphis-depay/220002,M. Depay,Memphis Depay,memphis-depay,"CF, LW, CAM",85,86,63000000,220000,27,1994-02-13,176,78,241,FC Barcelona,Spain Primera Division,1,LW,9,,2021-07-01,2023,34,Netherlands,105035,ST,10,Right,3,5,3,High/Low,Unique,Yes,133900000,#Dribbler,"Flair, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",82,83,82,84,30,79,84,83,65,81,74,86,85,83,76,85,81,83,80,83,81,87,69,79,83,83,72,28,85,85,76,80,23,31,20,8,14,6,12,10,,82+3,82+3,82+3,84,84,84,84,84,83+3,83+3,83+3,83+3,77+3,77+3,77+3,83+3,61+3,59+3,59+3,59+3,61+3,56+3,49+3,49+3,49+3,56+3,19+3,https://cdn.sofifa.net/players/202/556/22_120.png,https://cdn.sofifa.net/teams/241/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/105035/60.png,https://cdn.sofifa.net/flags/nl.png
232656,https://sofifa.com/player/232656/theo-hernandez/220002,T. Hernández,Theo Bernard François Hernández,theo-hernandez,LB,84,90,62500000,51000,23,1997-10-06,184,81,47,AC Milan,Italian Serie A,1,LB,19,,2019-07-05,2024,18,France,,,,Left,3,3,3,High/Medium,Unique,Yes,118800000,#Speedster,Speed Dribbler (AI),93,71,76,81,77,82,84,68,74,78,66,83,69,64,68,79,92,94,78,84,75,80,68,90,79,72,82,78,80,74,50,80,74,79,80,12,10,7,7,7,,78+3,78+3,78+3,81,80,80,80,81,78+3,78+3,78+3,81+3,78+3,78+3,78+3,81+3,82+3,78+3,78+3,78+3,82+3,82+3,78+3,78+3,78+3,82+3,17+3,https://cdn.sofifa.net/players/232/656/22_120.png,https://cdn.sofifa.net/teams/47/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/fr.png
233064,https://sofifa.com/player/233064/mason-mount/220002,M. Mount,Mason Mount,mason-mount,"CAM, CM, RW",83,89,58500000,120000,22,1999-01-10,178,70,5,Chelsea,English Premier League,1,RW,19,,2016-01-10,2024,14,England,1318,LCM,19,Right,4,3,3,High/High,Lean (170-185),Yes,119900000,#Engine,"Long Shot Taker (AI), Technical Dribbler (AI)",74,79,84,83,55,65,82,79,59,86,75,82,81,83,83,85,77,71,80,84,76,81,54,86,54,82,68,59,81,83,60,84,54,57,41,11,12,13,8,12,,77+3,77+3,77+3,82,81,81,81,82,83+3,83+3,83+3,82+3,81+3,81+3,81+3,82+3,71+3,71+3,71+3,71+3,71+3,68+3,60+3,60+3,60+3,68+3,19+3,https://cdn.sofifa.net/players/233/064/22_120.png,https://cdn.sofifa.net/teams/5/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
239053,https://sofifa.com/player/239053/federico-valverde/220002,F. Valverde,Federico Santiago Valverde Dipetta,federico-valverde,CM,83,89,58000000,160000,22,1998-07-22,182,78,243,Real Madrid CF,Spain Primera Division,1,SUB,15,,2016-07-22,2027,60,Uruguay,,,,Right,4,3,1,High/High,Unique,Yes,130500000,#Engine,Long Shot Taker (AI),86,74,78,79,77,80,66,69,59,85,70,79,70,66,84,82,82,90,76,84,68,80,62,86,79,81,81,81,76,80,59,82,79,80,76,6,10,6,15,8,,76+2,76+2,76+2,79,79,79,79,79,81+2,81+2,81+2,80+2,82+2,82+2,82+2,80+2,80+2,82+2,82+2,82+2,80+2,79+2,78+2,78+2,78+2,79+2,18+2,https://cdn.sofifa.net/players/239/053/22_120.png,https://cdn.sofifa.net/teams/243/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/uy.png
247394,https://sofifa.com/player/247394/dejan-kulusevski/220002,D. Kulusevski,Dejan Kulusevski,dejan-kulusevski,"RW, CF",81,89,58000000,72000,21,2000-04-25,186,75,45,Juventus,Italian Serie A,1,SUB,44,,2019-07-18,2024,46,Sweden,1363,RS,21,Left,4,4,2,High/Medium,Normal (185+),Yes,107300000,,Flair,84,74,77,84,56,76,80,70,54,79,80,85,83,61,69,87,85,83,77,80,73,74,66,85,77,83,67,55,77,78,65,83,50,64,58,14,5,10,10,5,,76+2,76+2,76+2,81,80,80,80,81,80+2,80+2,80+2,81+2,77+2,77+2,77+2,81+2,73+2,70+2,70+2,70+2,73+2,70+2,64+2,64+2,64+2,70+2,16+2,https://cdn.sofifa.net/players/247/394/22_120.png,https://cdn.sofifa.net/teams/45/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/1363/60.png,https://cdn.sofifa.net/flags/se.png
216393,https://sofifa.com/player/216393/youri-tielemans/220002,Y. Tielemans,Youri Tielemans,youri-tielemans,"CM, CDM",84,87,57000000,125000,24,1997-05-07,176,72,95,Leicester City,English Premier League,1,RDM,8,,2019-07-08,2023,7,Belgium,1325,LCM,8,Right,5,4,2,Medium/Medium,Normal (170-185),Yes,112600000,#Playmaker ,"Solid Player, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI)",63,79,86,80,71,72,82,74,67,89,78,79,81,78,88,85,67,59,67,83,77,87,66,81,69,86,68,74,80,87,73,86,70,73,69,6,8,10,14,12,,77+2,77+2,77+2,79,80,80,80,79,82+2,82+2,82+2,80+2,84+2,84+2,84+2,80+2,77+2,79+2,79+2,79+2,77+2,75+2,72+2,72+2,72+2,75+2,18+2,https://cdn.sofifa.net/players/216/393/22_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1325/60.png,https://cdn.sofifa.net/flags/be.png
234396,https://sofifa.com/player/234396/alphonso-davies/220002,A. Davies,Alphonso Boyle Davies,alphonso-davies,"LB, LM",82,89,57000000,59000,20,2000-11-02,183,75,21,FC Bayern München,German 1. Bundesliga,1,LB,19,,2019-01-01,2025,70,Canada,111455,LM,12,Left,4,4,3,High/Low,Unique,Yes,105500000,#Speedster,"Flair, Speed Dribbler (AI)",96,67,71,82,75,75,74,67,64,81,59,85,67,44,58,79,96,96,85,81,82,71,77,79,72,63,77,78,75,68,60,74,74,77,79,11,11,6,5,14,,75+3,75+3,75+3,79,78,78,78,79,77+3,77+3,77+3,79+3,74+3,74+3,74+3,79+3,80+3,76+3,76+3,76+3,80+3,80+3,76+3,76+3,76+3,80+3,18+3,https://cdn.sofifa.net/players/234/396/22_120.png,https://cdn.sofifa.net/teams/21/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/teams/111455/60.png,https://cdn.sofifa.net/flags/ca.png
212188,https://sofifa.com/player/212188/timo-werner/220002,T. Werner,Timo Werner,timo-werner,"ST, LW",84,87,56500000,155000,25,1996-03-06,180,76,5,Chelsea,English Premier League,1,SUB,11,,2020-07-01,2025,21,Germany,1337,ST,9,Right,4,3,3,High/Medium,Unique,Yes,108800000,#Speedster,Speed Dribbler (AI),91,81,70,82,35,70,69,81,76,79,84,82,70,58,55,84,93,89,82,87,76,85,75,83,65,77,63,37,88,68,78,79,39,20,19,9,9,8,15,9,,83+3,83+3,83+3,82,83,83,83,82,80+3,80+3,80+3,80+3,72+3,72+3,72+3,80+3,61+3,57+3,57+3,57+3,61+3,58+3,50+3,50+3,50+3,58+3,19+3,https://cdn.sofifa.net/players/212/188/22_120.png,https://cdn.sofifa.net/teams/5/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1337/60.png,https://cdn.sofifa.net/flags/de.png
240130,https://sofifa.com/player/240130/eder-gabriel-militao/220002,Éder Militão,Éder Gabriel Militão,eder-militao,CB,82,89,56500000,130000,23,1998-01-18,186,78,243,Real Madrid CF,Spain Primera Division,1,RCB,3,,2019-07-01,2025,54,Brazil,,,,Right,3,2,2,Medium/Medium,Lean (170-185),Yes,127100000,,,83,50,69,71,83,82,72,48,81,77,34,70,60,40,70,73,81,84,69,83,63,62,86,85,80,42,82,84,64,59,60,74,83,83,82,11,8,15,12,15,,67+2,67+2,67+2,69,68,68,68,69,68+2,68+2,68+2,72+2,72+2,72+2,72+2,72+2,80+2,79+2,79+2,79+2,80+2,81+2,82+2,82+2,82+2,81+2,20+2,https://cdn.sofifa.net/players/240/130/22_120.png,https://cdn.sofifa.net/teams/243/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/br.png
241464,https://sofifa.com/player/241464/pau-francisco-torres/220002,Pau Torres,Pau Francisco Torres,pau-torres,CB,82,89,56500000,35000,24,1997-01-16,191,80,483,Villarreal CF,Spain Primera Division,1,SUB,4,,2016-07-01,2024,45,Spain,1362,SUB,4,Left,3,2,2,Medium/High,Lean (185+),Yes,130000000,,Power Header,71,38,67,70,84,80,55,28,85,80,41,64,45,28,76,79,69,72,69,80,52,58,78,80,80,40,79,82,42,67,42,73,84,84,83,11,13,13,13,9,,60+2,60+2,60+2,62,62,62,62,62,66+2,66+2,66+2,66+2,72+2,72+2,72+2,66+2,77+2,80+2,80+2,80+2,77+2,78+2,82+2,82+2,82+2,78+2,19+2,https://cdn.sofifa.net/players/241/464/22_120.png,https://cdn.sofifa.net/teams/483/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1362/60.png,https://cdn.sofifa.net/flags/es.png
222492,https://sofifa.com/player/222492/leroy-sane/220002,L. Sané,Leroy Aziz Sané,leroy-sane,"RM, LM",84,87,56000000,105000,25,1996-01-11,183,80,21,FC Bayern München,German 1. Bundesliga,1,LM,10,,2020-07-15,2025,21,Germany,1337,LM,19,Left,2,4,3,Medium/Low,Unique,Yes,96600000,"#Speedster, #Dribbler","Power Free-Kick, Flair, Speed Dribbler (AI)",90,81,79,85,38,68,83,81,72,81,85,87,83,82,64,84,91,89,84,79,79,87,64,68,70,78,63,34,84,82,71,80,36,32,35,8,12,9,9,14,,82+3,82+3,82+3,84,83,83,83,84,82+3,82+3,82+3,82+3,74+3,74+3,74+3,82+3,63+3,59+3,59+3,59+3,63+3,60+3,52+3,52+3,52+3,60+3,18+3,https://cdn.sofifa.net/players/222/492/22_120.png,https://cdn.sofifa.net/teams/21/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/teams/1337/60.png,https://cdn.sofifa.net/flags/de.png
201024,https://sofifa.com/player/201024/kalidou-koulibaly/220002,K. Koulibaly,Kalidou Koulibaly,kalidou-koulibaly,CB,86,86,55500000,105000,30,1991-06-20,187,89,48,Napoli,Italian Serie A,1,LCB,26,,2014-07-01,2023,136,Senegal,,,,Right,3,2,3,Medium/High,Unique,Yes,94400000,"#Tackling, #Strength",Power Header,81,28,51,65,87,85,30,22,84,63,14,69,28,28,63,64,74,87,51,83,34,55,82,70,94,15,83,85,35,52,33,82,90,88,86,7,11,7,13,5,,56+3,56+3,56+3,55,57,57,57,55,57+3,57+3,57+3,59+3,62+3,62+3,62+3,59+3,73+3,76+3,76+3,76+3,73+3,76+3,85+1,85+1,85+1,76+3,17+3,https://cdn.sofifa.net/players/201/024/22_120.png,https://cdn.sofifa.net/teams/48/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/sn.png
231443,https://sofifa.com/player/231443/ousmane-dembele/220002,O. Dembélé,Ousmane Dembélé,ousmane-dembele,RW,83,88,55000000,165000,24,1997-05-15,178,67,241,FC Barcelona,Spain Primera Division,1,RW,7,,2017-08-28,2022,18,France,,,,Left,5,5,3,High/Medium,Unique,Yes,116900000,"#Speedster, #Dribbler","Injury Prone, Flair, Speed Dribbler (AI)",93,77,77,86,36,56,81,75,43,78,76,89,82,64,76,84,94,93,89,78,80,83,58,68,51,76,54,36,77,76,75,80,42,30,33,6,6,14,10,13,,76+3,76+3,76+3,83,81,81,81,83,81+3,81+3,81+3,82+3,74+3,74+3,74+3,82+3,63+3,58+3,58+3,58+3,63+3,59+3,47+3,47+3,47+3,59+3,17+3,https://cdn.sofifa.net/players/231/443/22_120.png,https://cdn.sofifa.net/teams/241/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/fr.png
201942,https://sofifa.com/player/201942/roberto-firmino-barbosa-de-oliveira/220002,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,roberto-firmino,CF,85,85,54000000,185000,29,1991-10-02,181,76,9,Liverpool,English Premier League,1,CF,9,,2015-07-06,2023,54,Brazil,,,,Right,4,5,3,High/High,Unique,Yes,99900000,"#Dribbler, #Engine","Flair, Playmaker (AI), Technical Dribbler (AI)",77,78,79,89,59,78,73,78,78,84,83,89,81,65,76,90,77,77,85,86,86,79,81,87,74,76,75,58,82,83,72,88,55,64,42,8,11,9,6,10,,81+3,81+3,81+3,83,83,83,83,83,84+1,84+1,84+1,83+2,82+3,82+3,82+3,83+2,72+3,72+3,72+3,72+3,72+3,69+3,67+3,67+3,67+3,69+3,17+3,https://cdn.sofifa.net/players/201/942/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/br.png
251854,https://sofifa.com/player/251854/pedro-gonzalez-lopez/220002,Pedri,Pedro González López,pedri,CM,81,91,54000000,51000,18,2002-11-25,174,61,241,FC Barcelona,Spain Primera Division,1,LCM,16,,2020-08-04,2022,45,Spain,1362,LCM,26,Right,4,4,2,High/High,Lean (170-185),No,121500000,"#Engine, #Acrobat","Solid Player, Flair, Technical Dribbler (AI)",78,65,79,84,66,63,68,68,50,85,45,84,73,51,80,83,81,76,88,81,89,62,65,86,53,65,59,68,77,86,53,84,65,73,63,12,7,11,8,8,,71+2,71+2,71+2,79,78,78,78,79,81+2,81+2,81+2,80+2,81+2,81+2,81+2,80+2,75+2,75+2,75+2,75+2,75+2,73+2,66+2,66+2,66+2,73+2,17+2,https://cdn.sofifa.net/players/251/854/22_120.png,https://cdn.sofifa.net/teams/241/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1362/60.png,https://cdn.sofifa.net/flags/es.png
189513,https://sofifa.com/player/189513/daniel-parejo-munoz/220002,Parejo,Daniel Parejo Muñoz,dani-parejo,CM,86,86,53500000,64000,32,1989-04-16,182,74,483,Villarreal CF,Spain Primera Division,1,LCM,5,,2020-08-12,2024,45,Spain,,,,Right,4,3,2,Medium/Medium,Lean (170-185),Yes,112400000,"#Playmaker, #Crosser, #FK Specialist, #Complete Midfielder","Solid Player, Long Passer (AI), Playmaker (AI)",50,83,90,81,71,69,86,83,61,92,72,82,88,90,90,86,52,49,63,80,72,81,49,78,70,88,58,81,82,89,88,85,70,70,69,5,9,12,14,8,,77+2,77+2,77+2,80,81,81,81,80,83+2,83+2,83+2,81+2,85+1,85+1,85+1,81+2,77+2,80+2,80+2,80+2,77+2,74+2,71+2,71+2,71+2,74+2,17+2,https://cdn.sofifa.net/players/189/513/22_120.png,https://cdn.sofifa.net/teams/483/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/es.png
194765,https://sofifa.com/player/194765/antoine-griezmann/220002,A. Griezmann,Antoine Griezmann,antoine-griezmann,"ST, LW, RW",85,85,53000000,220000,30,1991-03-21,176,73,240,Atlético de Madrid,Spain Primera Division,1,LS,17,FC Barcelona,,2022,18,France,1335,RW,7,Left,3,4,4,Medium/Medium,Unique,Yes,,#Acrobat,"Finesse Shot, Flair, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)",80,84,84,87,52,72,83,84,83,84,86,85,86,85,82,89,80,80,92,89,83,82,90,86,63,83,73,49,89,85,79,90,43,54,49,14,8,14,13,14,,84+1,84+1,84+1,85,86-1,86-1,86-1,85,86-1,86-1,86-1,85,82+3,82+3,82+3,85,71+3,69+3,69+3,69+3,71+3,69+3,63+3,63+3,63+3,69+3,21+3,https://cdn.sofifa.net/players/194/765/22_120.png,https://cdn.sofifa.net/teams/240/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1335/60.png,https://cdn.sofifa.net/flags/fr.png
241486,https://sofifa.com/player/241486/jules-kounde/220002,J. Koundé,Jules Koundé,jules-kounde,CB,83,89,53000000,33000,22,1998-11-12,181,75,481,Sevilla FC,Spain Primera Division,1,RCB,23,,2019-07-03,2024,18,France,1335,SUB,5,Right,3,2,2,High/High,Normal (170-185),No,121900000,#Tactician ,,81,45,64,72,84,78,45,47,79,80,32,69,42,26,75,74,81,81,71,85,74,48,88,76,79,40,75,86,47,62,43,82,85,85,83,11,10,8,14,13,,63+2,63+2,63+2,66,66,66,66,66,68+2,68+2,68+2,68+2,72+2,72+2,72+2,68+2,77+2,80+2,80+2,80+2,77+2,79+2,82+2,82+2,82+2,79+2,20+2,https://cdn.sofifa.net/players/241/486/22_120.png,https://cdn.sofifa.net/teams/481/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1335/60.png,https://cdn.sofifa.net/flags/fr.png
