,name,real_life_value_usd,fifa_value_usd,national_team,position,sub_position,strong_foot,fifa_rating,highest_possible_fifa_rating,age,dob,club_name,league_name
209,Pedro Porro,29700000,44550000,Spain,Defender,Right-Back,Right,80,87,21,9/13/1999,Sporting CP,Portuguese Liga ZON SAGRES
210,Otavio,29700000,33550000,Portugal,Midfield,Right Midfield,Right,81,82,26,2/9/1995,FC Porto,Portuguese Liga ZON SAGRES
211,Lorenzo Insigne,29700000,72050000,Italy,Attack,Left Winger,Right,86,86,30,6/4/1991,Napoli,Italian Serie A
212,Julian Brandt,29700000,39600000,Germany,Midfield,Attacking Midfield,Right,81,85,25,5/2/1996,Borussia Dortmund,German 1. Bundesliga
213,Thomas Muller,29700000,72600000,Germany,Attack,Second Striker,Right,87,87,31,9/13/1989,FC Bayern München,German 1. Bundesliga
214,Boubacar Kamara,29700000,34100000,France,Midfield,Defensive Midfield,Right,80,86,21,11/23/1999,Olympique de Marseille,French Ligue 1
215,Noa Lang,29700000,31350000,Netherlands,Attack,Left Winger,Right,78,85,22,6/17/1999,Club Brugge KV,Belgian Jupiler Pro League
216,Viktor Tsygankov,29700000,36850000,Ukraine,Attack,Right Winger,Left,80,86,23,11/15/1997,Dynamo Kyiv,Ukrainian Premier League
217,Dele Alli,29700000,29150000,England,Midfield,Attacking Midfield,Right,80,82,25,4/11/1996,Tottenham Hotspur,English Premier League
218,Mike Maignan,29700000,54450000,France,Goalkeeper,Goalkeeper,Right,84,89,25,7/3/1995,AC Milan,Italian Serie A
219,Donny Van De Beek,29700000,42350000,Netherlands,Midfield,Central Midfield,Right,81,86,24,4/18/1997,Manchester United,English Premier League
220,Ridle Baku,29700000,35200000,Germany,Midfield,Right Midfield,Right,80,85,23,4/8/1998,VfL Wolfsburg,German 1. Bundesliga
221,Joe Gomez,29700000,47850000,England,Defender,Centre-Back,Right,82,88,24,5/23/1997,Liverpool,English Premier League
222,Maxence Lacroix,29700000,36300000,France,Defender,Centre-Back,Right,79,86,21,4/6/2000,VfL Wolfsburg,German 1. Bundesliga
223,Rafa Silva,29700000,33550000,Portugal,Midfield,Right Midfield,Right,82,82,28,5/17/1993,SL Benfica,Portuguese Liga ZON SAGRES
224,Georginio Wijnaldum,29700000,44550000,Netherlands,Midfield,Central Midfield,Right,84,84,30,11/11/1990,Paris Saint-Germain,French Ligue 1
225,Kyle Walker,29700000,42900000,England,Defender,Right-Back,Right,85,85,31,5/28/1990,Manchester City,English Premier League
226,Unai Simon,29700000,37950000,Spain,Goalkeeper,Goalkeeper,Right,82,86,24,6/11/1997,Athletic Club de Bilbao,Spain Primera Division
227,Nordi Mukiele,29700000,37950000,France,Defender,Right-Back,Right,81,85,23,11/1/1997,RB Leipzig,German 1. Bundesliga
228,Jordan Pickford,29700000,36300000,England,Goalkeeper,Goalkeeper,Left,83,85,27,3/7/1994,Everton,English Premier League
229,Oleksandr Zinchenko,29700000,32450000,Ukraine,Defender,Left-Back,Left,80,85,24,12/15/1996,Manchester City,English Premier League
230,Gianluca Mancini,29700000,29150000,Italy,Defender,Centre-Back,Right,80,84,25,4/17/1996,Roma,Italian Serie A
231,Toni Kroos,29700000,82500000,Germany,Midfield,Central Midfield,Right,88,88,31,1/4/1990,Real Madrid CF,Spain Primera Division
232,Karim Benzema,29700000,72600000,France,Attack,Centre-Forward,Both,89,89,33,12/19/1987,Real Madrid CF,Spain Primera Division
233,Cody Gakpo,29700000,30800000,Netherlands,Attack,Left Winger,Right,79,85,22,5/7/1999,PSV,Holland Eredivisie
234,Ricardo Pereira,29700000,44550000,Portugal,Defender,Right-Back,Right,84,84,27,10/6/1993,Leicester City,English Premier League
235,Matthias Ginter,28512000,46750000,Germany,Defender,Centre-Back,Right,84,85,27,1/19/1994,Borussia Mönchengladbach,German 1. Bundesliga
236,Lukas Klostermann,27324000,29150000,Germany,Defender,Centre-Back,Right,80,84,25,6/3/1996,RB Leipzig,German 1. Bundesliga
237,Danny Ings,26136000,29150000,England,Attack,Centre-Forward,Right,81,81,28,7/23/1992,Aston Villa,English Premier League
238,Luis Muriel,26136000,33000000,Colombia,Attack,Centre-Forward,Right,82,82,30,4/16/1991,Atalanta,Italian Serie A
239,Thiago,26136000,71500000,Spain,Midfield,Central Midfield,Right,86,86,30,4/11/1991,Liverpool,English Premier League
240,Emre Can,26136000,38500000,Germany,Midfield,Defensive Midfield,Right,82,83,27,1/12/1994,Borussia Dortmund,German 1. Bundesliga
241,Florian Neuhaus,26136000,50600000,Germany,Midfield,Central Midfield,Right,82,87,24,3/16/1997,Borussia Mönchengladbach,German 1. Bundesliga
242,Giovani Lo Celso,26136000,39050000,Argentina,Midfield,Central Midfield,Left,81,85,25,4/9/1996,Tottenham Hotspur,English Premier League
243,Ante Rebic,26136000,35750000,Croatia,Attack,Left Winger,Right,82,82,27,9/21/1993,AC Milan,Italian Serie A
244,Jordan Veretout,26136000,32450000,France,Midfield,Central Midfield,Right,82,83,28,3/1/1993,Roma,Italian Serie A
245,Jonathan Bamba,26136000,30800000,France,Attack,Left Winger,Right,80,83,25,3/26/1996,LOSC Lille,French Ligue 1
246,Raul Jimenez,26136000,39050000,Mexico,Attack,Centre-Forward,Right,83,83,30,5/5/1991,Wolverhampton Wanderers,English Premier League
247,Kevin Volland,26136000,40700000,Germany,Attack,Second Striker,Left,83,83,28,7/30/1992,AS Monaco,French Ligue 1
248,Alex Remiro,26136000,28600000,Spain,Goalkeeper,Goalkeeper,Right,81,84,26,3/24/1995,Real Sociedad,Spain Primera Division
249,Brahim Diaz,26136000,34650000,Spain,Midfield,Attacking Midfield,Both,78,86,21,8/3/1999,AC Milan,Italian Serie A
250,Lucas Moura,26136000,28600000,Brazil,Attack,Right Winger,Right,81,81,28,8/13/1992,Tottenham Hotspur,English Premier League
251,Marc Cucurella,23760000,45650000,Spain,Defender,Left-Back,Left,81,87,22,7/22/1998,Brighton & Hove Albion,English Premier League
252,Alexandre Lacazette,23760000,33000000,France,Attack,Centre-Forward,Right,82,82,30,5/28/1991,Arsenal,English Premier League
253,Thorgan Hazard,23760000,33550000,Belgium,Attack,Left Winger,Right,82,82,28,3/29/1993,Borussia Dortmund,German 1. Bundesliga
254,Denzel Dumfries,23760000,38500000,Netherlands,Midfield,Right Midfield,Right,82,84,25,4/18/1996,Inter,Italian Serie A
255,Alessio Romagnoli,23760000,34650000,Italy,Defender,Centre-Back,Left,82,83,26,1/12/1995,AC Milan,Italian Serie A
256,Sergio Canales,23760000,37950000,Spain,Midfield,Attacking Midfield,Left,83,83,30,2/16/1991,Real Betis Balompié,Spain Primera Division
257,Stefan Savic,23760000,37950000,Montenegro,Defender,Centre-Back,Right,84,84,30,1/8/1991,Atlético de Madrid,Spain Primera Division
258,Renan Lodi,23760000,40150000,Brazil,Defender,Left-Back,Left,81,86,23,4/8/1998,Atlético de Madrid,Spain Primera Division
259,Lucas Torreira,23760000,29150000,Uruguay,Midfield,Defensive Midfield,Right,80,84,25,2/11/1996,Fiorentina,Italian Serie A
260,Filip Kostic,23760000,46750000,Serbia,Midfield,Left Midfield,Left,84,84,28,11/1/1992,Eintracht Frankfurt,German 1. Bundesliga
261,Wout Weghorst,23760000,40700000,Netherlands,Attack,Centre-Forward,Right,83,83,28,8/7/1992,VfL Wolfsburg,German 1. Bundesliga
262,Arthur,23760000,51700000,Brazil,Midfield,Central Midfield,Right,83,85,24,8/12/1996,Juventus,Italian Serie A
263,Noussair Mazraoui,23760000,32450000,Morocco,Defender,Right-Back,Right,80,85,23,11/14/1997,Ajax,Holland Eredivisie
264,Alejandro Grimaldo,23760000,40700000,Spain,Defender,Left-Back,Left,82,85,25,9/20/1995,SL Benfica,Portuguese Liga ZON SAGRES
265,Luka Jovic,23760000,29700000,Serbia,Attack,Centre-Forward,Both,79,84,23,12/23/1997,Real Madrid CF,Spain Primera Division
266,Leonardo Spinazzola,23760000,36300000,Italy,Defender,Left-Back,Right,83,83,28,3/25/1993,Roma,Italian Serie A
267,Gerson,21384000,33000000,Brazil,Midfield,Central Midfield,Left,80,84,24,5/20/1997,Olympique de Marseille,French Ligue 1
268,David De Gea,21384000,30800000,Spain,Goalkeeper,Goalkeeper,Right,84,84,30,11/7/1990,Manchester United,English Premier League
269,Jordan Henderson,21384000,32450000,England,Midfield,Central Midfield,Right,84,84,31,6/17/1990,Liverpool,English Premier League
270,Andrej Kramaric,21384000,39050000,Croatia,Attack,Second Striker,Right,83,83,30,6/19/1991,TSG Hoffenheim,German 1. Bundesliga
271,Everton,21384000,30800000,Brazil,Midfield,Left Midfield,Right,80,83,25,3/22/1996,SL Benfica,Portuguese Liga ZON SAGRES
272,Oscar,21384000,33000000,Brazil,Midfield,Attacking Midfield,Right,82,82,29,9/9/1991,Shanghai Port FC,Chinese Super League
273,Alex Telles,21384000,30250000,Brazil,Defender,Left-Back,Left,82,82,28,12/15/1992,Manchester United,English Premier League
274,Adrien Rabiot,21384000,33000000,France,Midfield,Central Midfield,Left,81,82,26,4/3/1995,Juventus,Italian Serie A
275,Dean Henderson,21384000,39600000,England,Goalkeeper,Goalkeeper,Right,80,87,24,3/12/1997,Manchester United,English Premier League
276,Allan,21384000,33550000,Brazil,Midfield,Defensive Midfield,Right,83,83,30,1/8/1991,Everton,English Premier League
277,Matteo Pessina,21384000,30800000,Italy,Midfield,Attacking Midfield,Left,78,85,24,4/21/1997,Atalanta,Italian Serie A
278,Steven Bergwijn,21384000,33000000,Netherlands,Attack,Left Winger,Right,80,84,23,10/8/1997,Tottenham Hotspur,English Premier League
279,Eden Hazard,21384000,57200000,Belgium,Attack,Left Winger,Right,85,85,30,1/7/1991,Real Madrid CF,Spain Primera Division
280,Joel Matip,21384000,33550000,Cameroon,Defender,Centre-Back,Right,83,83,29,8/8/1991,Liverpool,English Premier League
281,Kieran Trippier,21384000,40150000,England,Defender,Right-Back,Right,84,84,30,9/19/1990,Atlético de Madrid,Spain Primera Division
282,Philippe Coutinho,21384000,33000000,Brazil,Attack,Left Winger,Right,82,82,29,6/12/1992,FC Barcelona,Spain Primera Division
283,Maximilian Arnold,20196000,29150000,Germany,Midfield,Central Midfield,Left,81,82,27,5/27/1994,VfL Wolfsburg,German 1. Bundesliga
284,Arkadiusz Milik,20196000,33000000,Poland,Attack,Centre-Forward,Left,81,82,27,2/28/1994,Olympique de Marseille,French Ligue 1
285,Maxence Caqueret,20196000,34650000,France,Midfield,Central Midfield,Right,78,86,21,2/15/2000,Olympique Lyonnais,French Ligue 1
286,Bernd Leno,19008000,30800000,Germany,Goalkeeper,Goalkeeper,Right,83,84,29,3/4/1992,Arsenal,English Premier League
287,Suso,19008000,35750000,Spain,Attack,Right Winger,Left,82,82,27,11/19/1993,Sevilla FC,Spain Primera Division
288,Marcos Acuna,17820000,40700000,Argentina,Defender,Left-Back,Left,84,84,29,10/28/1991,Sevilla FC,Spain Primera Division
289,Pierre Emerick Aubameyang,17820000,47850000,Gabon,Attack,Centre-Forward,Right,85,85,32,6/18/1989,Arsenal,English Premier League
290,Pervis Estupinan,17820000,28600000,Ecuador,Defender,Left-Back,Left,79,85,23,1/21/1998,Villarreal CF,Spain Primera Division
291,Portu,17820000,33000000,Spain,Attack,Right Winger,Right,82,82,29,5/21/1992,Real Sociedad,Spain Primera Division
292,Yeray Alvarez,17820000,30800000,Spain,Defender,Centre-Back,Right,81,83,26,1/24/1995,Athletic Club de Bilbao,Spain Primera Division
293,Christian Eriksen,17820000,32450000,Denmark,Midfield,Attacking Midfield,Right,82,82,29,2/14/1992,Inter,Italian Serie A
294,Wojciech Szczesny,17820000,46200000,Poland,Goalkeeper,Goalkeeper,Right,87,87,31,4/18/1990,Juventus,Italian Serie A
295,Angel Di Maria,17820000,54450000,Argentina,Attack,Right Winger,Left,87,87,33,2/14/1988,Paris Saint-Germain,French Ligue 1
296,Clement Lenglet,16632000,41250000,France,Defender,Centre-Back,Left,82,86,26,6/17/1995,FC Barcelona,Spain Primera Division
297,Koen Casteels,16632000,57200000,Belgium,Goalkeeper,Goalkeeper,Left,86,87,29,6/25/1992,VfL Wolfsburg,German 1. Bundesliga
298,Pierluigi Gollini,15444000,38500000,Italy,Goalkeeper,Goalkeeper,Right,82,87,26,3/18/1995,Tottenham Hotspur,English Premier League
299,Sebastian Coates,15444000,33000000,Uruguay,Defender,Centre-Back,Right,83,83,30,10/7/1990,Sporting CP,Portuguese Liga ZON SAGRES
300,Dusan Tadic,15444000,36850000,Serbia,Attack,Left Winger,Left,84,84,32,11/20/1988,Ajax,Holland Eredivisie
301,Marco Reus,15444000,47300000,Germany,Midfield,Attacking Midfield,Right,85,85,32,5/31/1989,Borussia Dortmund,German 1. Bundesliga
302,Jordi Alba,14256000,51700000,Spain,Defender,Left-Back,Left,86,86,32,3/21/1989,FC Barcelona,Spain Primera Division
303,Alphonse Areola,14256000,28600000,France,Goalkeeper,Goalkeeper,Right,82,84,28,2/27/1993,West Ham United,English Premier League
304,Alex Meret,14256000,33000000,Italy,Goalkeeper,Goalkeeper,Left,79,86,24,3/22/1997,Napoli,Italian Serie A
305,Iker Muniain,14256000,40150000,Spain,Attack,Left Winger,Right,83,83,28,12/19/1992,Athletic Club de Bilbao,Spain Primera Division
306,Adnan Januzaj,14256000,30800000,Belgium,Attack,Right Winger,Left,81,81,26,2/5/1995,Real Sociedad,Spain Primera Division
307,Unai Nunez,14256000,29700000,Spain,Defender,Centre-Back,Right,80,84,24,1/30/1997,Athletic Club de Bilbao,Spain Primera Division
308,Juan Bernat,14256000,30250000,Spain,Defender,Left-Back,Left,82,82,28,3/1/1993,Paris Saint-Germain,French Ligue 1
309,Mario Gotze,14256000,33000000,Germany,Midfield,Attacking Midfield,Right,82,82,29,6/3/1992,PSV,Holland Eredivisie
310,Paco Alcacer,14256000,30800000,Spain,Attack,Centre-Forward,Right,81,81,27,8/30/1993,Villarreal CF,Spain Primera Division
311,Nicolas Tagliafico,14256000,30250000,Argentina,Defender,Left-Back,Left,82,82,28,8/31/1992,Ajax,Holland Eredivisie
312,Talisca,13662000,39050000,Brazil,Midfield,Attacking Midfield,Left,82,83,27,2/1/1994,Al Nassr,Saudi Abdul L. Jameel League
313,Peter Gulacsi,13068000,31350000,Hungary,Goalkeeper,Goalkeeper,Right,85,85,31,5/6/1990,RB Leipzig,German 1. Bundesliga
314,Henrikh Mkhitaryan,11880000,32450000,Armenia,Midfield,Attacking Midfield,Both,83,83,32,1/21/1989,Roma,Italian Serie A
315,Luis Suarez,11880000,48950000,Colombia,Attack,Centre-Forward,Right,88,88,34,1/24/1987,Atlético de Madrid,Spain Primera Division
316,Luis Suarez,11880000,48950000,Uruguay,Attack,Centre-Forward,Right,88,88,34,1/24/1987,Atlético de Madrid,Spain Primera Division
317,Luka Modric,11880000,35200000,Croatia,Midfield,Central Midfield,Both,87,87,35,9/9/1985,Real Madrid CF,Spain Primera Division
318,Dani Parejo,10692000,58850000,Spain,Midfield,Central Midfield,Right,86,86,32,4/16/1989,Villarreal CF,Spain Primera Division
319,Isco,10692000,33000000,Spain,Midfield,Attacking Midfield,Right,82,82,29,4/21/1992,Real Madrid CF,Spain Primera Division
320,Sergio Busquets,10692000,49500000,Spain,Midfield,Defensive Midfield,Right,86,86,32,7/16/1988,FC Barcelona,Spain Primera Division
321,Mats Hummels,10692000,48400000,Germany,Defender,Centre-Back,Right,86,86,32,12/16/1988,Borussia Dortmund,German 1. Bundesliga
322,Jose Campana,10692000,33550000,Spain,Midfield,Central Midfield,Right,82,82,28,5/31/1993,Levante Unión Deportiva,Spain Primera Division
323,Alex Sandro,10692000,34650000,Brazil,Defender,Left-Back,Left,83,83,30,1/26/1991,Juventus,Italian Serie A
324,Stefano Sensi,9504000,30250000,Italy,Midfield,Central Midfield,Right,80,83,25,8/5/1995,Inter,Italian Serie A
325,Uros Racic,9504000,30800000,Serbia,Midfield,Defensive Midfield,Both,78,85,23,3/17/1998,Valencia CF,Spain Primera Division
326,Felipe,9504000,30250000,Brazil,Defender,Centre-Back,Right,84,84,32,5/16/1989,Atlético de Madrid,Spain Primera Division
327,Darwin Machis,8910000,28600000,Venezuela,Attack,Left Winger,Right,81,81,28,2/7/1993,Granada CF,Spain Primera Division
328,Jovane,8316000,34100000,Cape Verde,Attack,Left Winger,Right,78,86,23,6/14/1998,Sporting CP,Portuguese Liga ZON SAGRES
329,Iago Aspas,8316000,29700000,Spain,Attack,Centre-Forward,Left,84,84,33,8/1/1987,RC Celta de Vigo,Spain Primera Division
330,Javi Puado,7128000,30800000,Spain,Attack,Left Winger,Right,78,85,23,5/25/1998,RCD Espanyol de Barcelona,Spain Primera Division
331,Carlos Vela,5940000,31900000,Mexico,Attack,Right Winger,Left,83,83,32,3/1/1989,Los Angeles FC,USA Major League Soccer
332,Yann Sommer,5940000,29150000,Switzerland,Goalkeeper,Goalkeeper,Right,85,85,32,12/17/1988,Borussia Mönchengladbach,German 1. Bundesliga
333,Jamie Vardy,5940000,36300000,England,Attack,Centre-Forward,Right,86,86,34,1/11/1987,Leicester City,English Premier League
334,Edinson Cavani,4752000,28600000,Uruguay,Attack,Centre-Forward,Right,85,85,34,2/14/1987,Manchester United,English Premier League
335,Josip Ilicic,3564000,29700000,Slovenia,Attack,Second Striker,Left,84,84,33,1/29/1988,Atalanta,Italian Serie A
336,Andre Silva,1069200,56100000,Brazil,Attack,Centre-Forward,Left,84,85,25,11/6/1995,RB Leipzig,German 1. Bundesliga
337,Alejandro Gomez,475200,36850000,Mexico,Defender,Centre-Back,Left,85,85,33,2/15/1988,Sevilla FC,Spain Primera Division
338,Antony,237600,43450000,Brazil,Attack,Second Striker,Right,79,88,21,2/24/2000,Ajax,Holland Eredivisie
339,Sergio Aguero,,56100000,Argentina,Attack,Centre-Forward,Right,87,87,33,6/2/1988,FC Barcelona,Spain Primera Division
